epoch,train_loss,train_acc,val_loss,val_acc
1,2.7269491386413574,0.215,2.338774053255717,0.29
2,1.3854559984207153,0.635,2.1608145332336424,0.32
3,0.6925926809310913,0.907,2.18155420144399,0.31
