objectid,title,attribution,medium,classification,subclassification,beginyear,endyear,depictstmsobjectid,iiifurl,iiifthumburl,openaccess
72078,Diana and Endymion,Luca Giordano,oil on canvas,Painting,,1675.0,1680.0,72078,https://api.nga.gov/iiif/3cb0cb4d-710f-4136-9610-f47f381ecd6a,"https://api.nga.gov/iiif/3cb0cb4d-710f-4136-9610-f47f381ecd6a/full/!200,200/0/default.jpg",1
52277,Sir William Hamilton,George Romney,oil on canvas,Painting,,1783.0,1784.0,52277,https://api.nga.gov/iiif/f6ce380f-82c3-469e-b829-54859d95f881,"https://api.nga.gov/iiif/f6ce380f-82c3-469e-b829-54859d95f881/full/!200,200/0/default.jpg",1
41589,An Episode from the Life of Publius Cornelius Scipio,Giovanni Bellini,oil on canvas,Painting,,1506.0,1506.0,41589,https://api.nga.gov/iiif/9c048501-ff74-46f1-b3c7-890cc7d86dd0,"https://api.nga.gov/iiif/9c048501-ff74-46f1-b3c7-890cc7d86dd0/full/!200,200/0/default.jpg",1
41645,Death and the Miser,Hieronymus Bosch,oil on panel,Painting,,1485.0,1490.0,41645,https://api.nga.gov/iiif/03ee67ee-dd0e-443f-84ef-ede5f62ce0cd,"https://api.nga.gov/iiif/03ee67ee-dd0e-443f-84ef-ede5f62ce0cd/full/!200,200/0/default.jpg",1
3200,Saint Bernard with Donor [obverse],Imitator of Flemish 15th Century,oil on panel,Painting,,1900.0,1900.0,3200,https://api.nga.gov/iiif/d20acee9-c24e-4d81-96c0-bb4d55efa42b,"https://api.nga.gov/iiif/d20acee9-c24e-4d81-96c0-bb4d55efa42b/full/!200,200/0/default.jpg",1
50424,Two Choctaw Indians,George Catlin,oil on card mounted on paperboard,Painting,,1861.0,1869.0,50424,https://api.nga.gov/iiif/095da846-c1df-4eff-a12c-1f3542ac5dc6,"https://api.nga.gov/iiif/095da846-c1df-4eff-a12c-1f3542ac5dc6/full/!200,200/0/default.jpg",1
50557,"Botocudo Chief, His Wife, and a Young Man",George Catlin,oil on card mounted on paperboard,Painting,,1854.0,1869.0,50557,https://api.nga.gov/iiif/208e9464-a275-42ba-97ab-2067cddd0199,"https://api.nga.gov/iiif/208e9464-a275-42ba-97ab-2067cddd0199/full/!200,200/0/default.jpg",1
42436,Master Cleeves,William Matthew Prior,aqueous medium on cardboard,Painting,,1850.0,1850.0,42436,https://api.nga.gov/iiif/8259f691-0d68-4471-a246-57dc3a5e1b61,"https://api.nga.gov/iiif/8259f691-0d68-4471-a246-57dc3a5e1b61/full/!200,200/0/default.jpg",1
34641,Interior of a Church,Peeter Neeffs the Elder,oil on copper,Painting,,1625.0,1630.0,34641,https://api.nga.gov/iiif/bd9294b2-c0b3-4f4e-94eb-a173de69692e,"https://api.nga.gov/iiif/bd9294b2-c0b3-4f4e-94eb-a173de69692e/full/!200,200/0/default.jpg",1
115,Salisbury Cathedral from Lower Marsh Close,John Constable,oil on canvas,Painting,,1820.0,1820.0,115,https://api.nga.gov/iiif/644bd0f2-3a24-4971-a234-3a3a0c76d3ba,"https://api.nga.gov/iiif/644bd0f2-3a24-4971-a234-3a3a0c76d3ba/full/!200,200/0/default.jpg",1
