objectid,title,classification,iiifurl,iiifthumburl,openaccess,portrait_like
53142,Moses Striking the Rock,Painting,https://api.nga.gov/iiif/45dc7208-ccc2-4e0c-bb61-fc7497ce13b5,"https://api.nga.gov/iiif/45dc7208-ccc2-4e0c-bb61-fc7497ce13b5/full/!200,200/0/default.jpg",1,True
53376,Saint Matthew and the Angel,Painting,https://api.nga.gov/iiif/811c5eae-cf56-43a0-978b-faa1c59e0c08,"https://api.nga.gov/iiif/811c5eae-cf56-43a0-978b-faa1c59e0c08/full/!200,200/0/default.jpg",1,True
53528,Saint Alban of Mainz,Painting,https://api.nga.gov/iiif/84566465-2c6a-4fd1-b933-9fb84f0cb3df,"https://api.nga.gov/iiif/84566465-2c6a-4fd1-b933-9fb84f0cb3df/full/!200,200/0/default.jpg",1,True
53529,Saint Wolfgang,Painting,https://api.nga.gov/iiif/8fbd2f18-6086-43b3-8076-ae850dd13393,"https://api.nga.gov/iiif/8fbd2f18-6086-43b3-8076-ae850dd13393/full/!200,200/0/default.jpg",1,True
53530,Saint Valentine,Painting,https://api.nga.gov/iiif/c92d6b81-1ce2-485f-82ca-5532addb981d,"https://api.nga.gov/iiif/c92d6b81-1ce2-485f-82ca-5532addb981d/full/!200,200/0/default.jpg",1,True
53531,Saint Alcuin,Painting,https://api.nga.gov/iiif/4494e5c4-1d38-42fa-9386-ececec527697,"https://api.nga.gov/iiif/4494e5c4-1d38-42fa-9386-ececec527697/full/!200,200/0/default.jpg",1,True
53532,Woman Ironing,Painting,https://api.nga.gov/iiif/05a612fd-23ad-4862-8ba2-84811c563c5a,"https://api.nga.gov/iiif/05a612fd-23ad-4862-8ba2-84811c563c5a/full/!200,200/0/default.jpg",1,True
53579,"The Flags, Saint Mark's, Venice - Fête Day",Painting,https://api.nga.gov/iiif/15670129-c4b5-475a-a436-739d2c725921,"https://api.nga.gov/iiif/15670129-c4b5-475a-a436-739d2c725921/full/!200,200/0/default.jpg",1,True
56148,Saint Anne with the Virgin and the Christ Child,Painting,https://api.nga.gov/iiif/92c3ca05-2878-4152-856e-5ce764defe51,"https://api.nga.gov/iiif/92c3ca05-2878-4152-856e-5ce764defe51/full/!200,200/0/default.jpg",1,True
56394,Lady Borlase,Painting,https://api.nga.gov/iiif/ae91de51-b740-4a58-9d26-edb73330e5f3,"https://api.nga.gov/iiif/ae91de51-b740-4a58-9d26-edb73330e5f3/full/!200,200/0/default.jpg",1,True
56702,Lady with a Lute,Painting,https://api.nga.gov/iiif/d85fd62b-0900-4430-9383-1796b5a7d9e9,"https://api.nga.gov/iiif/d85fd62b-0900-4430-9383-1796b5a7d9e9/full/!200,200/0/default.jpg",1,True
56729,"Man Named Hubbard Reading ""Boston Atlas""",Painting,https://api.nga.gov/iiif/8cf24db1-08d9-4e24-94c6-b587a6f1595f,"https://api.nga.gov/iiif/8cf24db1-08d9-4e24-94c6-b587a6f1595f/full/!200,200/0/default.jpg",1,True
56733,Man with a Tune Book: Possibly Mr. Cook,Painting,https://api.nga.gov/iiif/8f2ac14f-5499-4643-9ee9-8434f364ddac,"https://api.nga.gov/iiif/8f2ac14f-5499-4643-9ee9-8434f364ddac/full/!200,200/0/default.jpg",1,True
56736,Child with Straw Hat,Painting,https://api.nga.gov/iiif/e3c3a8d3-1fed-4b87-86cc-222163634f8e,"https://api.nga.gov/iiif/e3c3a8d3-1fed-4b87-86cc-222163634f8e/full/!200,200/0/default.jpg",1,True
56737,Little Girl Holding Apple,Painting,https://api.nga.gov/iiif/2405812b-df0f-4275-82e2-544dea3ca282,"https://api.nga.gov/iiif/2405812b-df0f-4275-82e2-544dea3ca282/full/!200,200/0/default.jpg",1,True
56738,Boy of the Beekman Family,Painting,https://api.nga.gov/iiif/4303fbae-e62c-428b-8868-3b788b79d0fc,"https://api.nga.gov/iiif/4303fbae-e62c-428b-8868-3b788b79d0fc/full/!200,200/0/default.jpg",1,True
56741,Girl in Red with Flowers and a Distelfink,Painting,https://api.nga.gov/iiif/66d80c10-fef1-48ce-82ec-e68f0d39a501,"https://api.nga.gov/iiif/66d80c10-fef1-48ce-82ec-e68f0d39a501/full/!200,200/0/default.jpg",1,True
56742,Lady Wearing Spectacles,Painting,https://api.nga.gov/iiif/09d4b14d-114e-422e-8903-1657c04438fd,"https://api.nga.gov/iiif/09d4b14d-114e-422e-8903-1657c04438fd/full/!200,200/0/default.jpg",1,True
57457,Lady Cunliffe,Painting,https://api.nga.gov/iiif/1837f815-beca-415c-82ef-d752fdb9e8fc,"https://api.nga.gov/iiif/1837f815-beca-415c-82ef-d752fdb9e8fc/full/!200,200/0/default.jpg",1,True
59885,Young Lady with a Fan,Painting,https://api.nga.gov/iiif/41c15479-311d-4adc-a5d1-ee4acb6518f5,"https://api.nga.gov/iiif/41c15479-311d-4adc-a5d1-ee4acb6518f5/full/!200,200/0/default.jpg",1,True
59893,Portrait of an Unknown Family with a Terrier,Painting,https://api.nga.gov/iiif/71cb47a7-af14-40f9-acbe-864809a8861b,"https://api.nga.gov/iiif/71cb47a7-af14-40f9-acbe-864809a8861b/full/!200,200/0/default.jpg",1,True
59900,Woman Holding a Book,Painting,https://api.nga.gov/iiif/ff27dabd-4630-454a-8d0b-98013b605fd6,"https://api.nga.gov/iiif/ff27dabd-4630-454a-8d0b-98013b605fd6/full/!200,200/0/default.jpg",1,True
59901,Girl with Reticule and Rose,Painting,https://api.nga.gov/iiif/485978ee-4c65-41e3-8a11-644ce9c19da3,"https://api.nga.gov/iiif/485978ee-4c65-41e3-8a11-644ce9c19da3/full/!200,200/0/default.jpg",1,True
59907,Portrait of a Child,Painting,https://api.nga.gov/iiif/70bfd234-2682-4dc9-9be9-916b988a793b,"https://api.nga.gov/iiif/70bfd234-2682-4dc9-9be9-916b988a793b/full/!200,200/0/default.jpg",1,True
59908,Peaceable Kingdom,Painting,https://api.nga.gov/iiif/d74e4c52-044a-48e7-a549-1f2d95d311b4,"https://api.nga.gov/iiif/d74e4c52-044a-48e7-a549-1f2d95d311b4/full/!200,200/0/default.jpg",1,True
59914,The Sportsman's Dream,Painting,https://api.nga.gov/iiif/ad384145-4118-455b-b239-9f7891df77b6,"https://api.nga.gov/iiif/ad384145-4118-455b-b239-9f7891df77b6/full/!200,200/0/default.jpg",1,True
59929,Portrait of a Man in Red,Painting,https://api.nga.gov/iiif/d7ffb0a9-1733-4236-b0ce-1099c7b81554,"https://api.nga.gov/iiif/d7ffb0a9-1733-4236-b0ce-1099c7b81554/full/!200,200/0/default.jpg",1,True
59930,Portrait of a Lady in Red,Painting,https://api.nga.gov/iiif/8e60b0b0-f06d-42bf-a7f5-60b63c3558e0,"https://api.nga.gov/iiif/8e60b0b0-f06d-42bf-a7f5-60b63c3558e0/full/!200,200/0/default.jpg",1,True
59933,Mother and Child in White,Painting,https://api.nga.gov/iiif/2925536f-2418-4d6b-a3d5-4798abb6086e,"https://api.nga.gov/iiif/2925536f-2418-4d6b-a3d5-4798abb6086e/full/!200,200/0/default.jpg",1,True
59934,Young Woman with a Butterfly,Painting,https://api.nga.gov/iiif/329c2789-5e1d-45b3-b099-f702f301113d,"https://api.nga.gov/iiif/329c2789-5e1d-45b3-b099-f702f301113d/full/!200,200/0/default.jpg",1,True
59935,The Domino Girl,Painting,https://api.nga.gov/iiif/aa7d5a50-744d-4fed-a5ab-87096eff7373,"https://api.nga.gov/iiif/aa7d5a50-744d-4fed-a5ab-87096eff7373/full/!200,200/0/default.jpg",1,True
59936,Girl with Kitten,Painting,https://api.nga.gov/iiif/f8b621bb-fc4d-4e3f-a4ac-59c3e556f1dc,"https://api.nga.gov/iiif/f8b621bb-fc4d-4e3f-a4ac-59c3e556f1dc/full/!200,200/0/default.jpg",1,True
59939,Lady Wearing a Large White Cap,Painting,https://api.nga.gov/iiif/e1f8e4b5-6720-44bd-99a3-d13ca423e7ee,"https://api.nga.gov/iiif/e1f8e4b5-6720-44bd-99a3-d13ca423e7ee/full/!200,200/0/default.jpg",1,True
60817,"The Ship ""Favorite"" Maneuvering Off Greenock",Painting,https://api.nga.gov/iiif/b9795a65-89e1-4763-b61f-f7b1d2e3fd67,"https://api.nga.gov/iiif/b9795a65-89e1-4763-b61f-f7b1d2e3fd67/full/!200,200/0/default.jpg",1,True
61065,Madonna and Child,Painting,https://api.nga.gov/iiif/22c7a30d-5adc-48d3-955c-db3168543672,"https://api.nga.gov/iiif/22c7a30d-5adc-48d3-955c-db3168543672/full/!200,200/0/default.jpg",1,True
61352,Little Girl in White (Queenie Burnett),Painting,https://api.nga.gov/iiif/f42689b5-9c2c-42b5-abb7-7598a42988f2,"https://api.nga.gov/iiif/f42689b5-9c2c-42b5-abb7-7598a42988f2/full/!200,200/0/default.jpg",1,True
61356,Young Woman with Peonies,Painting,https://api.nga.gov/iiif/2c964e55-3f80-43c3-a581-1d7a276b6d0f,"https://api.nga.gov/iiif/2c964e55-3f80-43c3-a581-1d7a276b6d0f/full/!200,200/0/default.jpg",1,True
61365,Washerwoman near Trouville,Painting,https://api.nga.gov/iiif/31f31ddd-bc7a-46e2-a3f5-ccb23873b60c,"https://api.nga.gov/iiif/31f31ddd-bc7a-46e2-a3f5-ccb23873b60c/full/!200,200/0/default.jpg",1,True
61367,Child in a Straw Hat,Painting,https://api.nga.gov/iiif/75873c3d-4d85-4e38-9372-1d497f592817,"https://api.nga.gov/iiif/75873c3d-4d85-4e38-9372-1d497f592817/full/!200,200/0/default.jpg",1,True
61368,Little Girl in a Blue Armchair,Painting,https://api.nga.gov/iiif/6dc9ca49-ea8c-4314-985a-ba2cfc3965cd,"https://api.nga.gov/iiif/6dc9ca49-ea8c-4314-985a-ba2cfc3965cd/full/!200,200/0/default.jpg",1,True
61369,"Breton Girls Dancing, Pont-Aven",Painting,https://api.nga.gov/iiif/732faae9-f8fe-459b-b86e-1c6039024179,"https://api.nga.gov/iiif/732faae9-f8fe-459b-b86e-1c6039024179/full/!200,200/0/default.jpg",1,True
61379,Woman with a Parasol - Madame Monet and Her Son,Painting,https://api.nga.gov/iiif/99758d9d-c10b-4d02-a198-7e49afb1f3a6,"https://api.nga.gov/iiif/99758d9d-c10b-4d02-a198-7e49afb1f3a6/full/!200,200/0/default.jpg",1,True
61388,Woman in a Striped Dress,Painting,https://api.nga.gov/iiif/d2920459-884b-4c3a-995b-e30f4ddcca67,"https://api.nga.gov/iiif/d2920459-884b-4c3a-995b-e30f4ddcca67/full/!200,200/0/default.jpg",1,True
61398,The Lavie Children,Painting,https://api.nga.gov/iiif/87327813-1d7e-43e4-bdcd-06e852095654,"https://api.nga.gov/iiif/87327813-1d7e-43e4-bdcd-06e852095654/full/!200,200/0/default.jpg",1,True
63055,Martyrdom of Saint Margaret,Painting,https://api.nga.gov/iiif/eb807a2b-ff3f-4113-8617-d2575a2b4f2d,"https://api.nga.gov/iiif/eb807a2b-ff3f-4113-8617-d2575a2b4f2d/full/!200,200/0/default.jpg",1,True
63264,The Martyrdom and Last Communion of Saint Lucy,Painting,https://api.nga.gov/iiif/4632aa5a-a7f9-4807-9cef-76b7ef661d40,"https://api.nga.gov/iiif/4632aa5a-a7f9-4807-9cef-76b7ef661d40/full/!200,200/0/default.jpg",1,True
65821,Madonna and Child with Saint Elizabeth and Saint John the Baptist,Painting,https://api.nga.gov/iiif/641d09d9-5036-4268-99a8-4af8e1dd5213,"https://api.nga.gov/iiif/641d09d9-5036-4268-99a8-4af8e1dd5213/full/!200,200/0/default.jpg",1,True
