objectid,title,classification,iiifurl,iiifthumburl,openaccess,portrait_like
106946,Bust of a Bearded Man,Painting,https://api.nga.gov/iiif/0290c78e-7432-48f6-889a-378e9862fe15,"https://api.nga.gov/iiif/0290c78e-7432-48f6-889a-378e9862fe15/full/!200,200/0/default.jpg",1,True
108661,"Portrait of the Artist's Parents, Salomon de Bray and Anna Westerbaen",Painting,https://api.nga.gov/iiif/518e6be2-c92e-453f-b118-da1e0c69608c,"https://api.nga.gov/iiif/518e6be2-c92e-453f-b118-da1e0c69608c/full/!200,200/0/default.jpg",1,True
110104,View from Vaekero near Christiania,Painting,https://api.nga.gov/iiif/e5fffc83-c01c-4fbb-979b-ccefb49232cd,"https://api.nga.gov/iiif/e5fffc83-c01c-4fbb-979b-ccefb49232cd/full/!200,200/0/default.jpg",1,True
110280,"J.G. Shaddick, the Celebrated Sportsman",Painting,https://api.nga.gov/iiif/a3d2edaa-6b3e-408f-ac3a-cba8459b6f9b,"https://api.nga.gov/iiif/a3d2edaa-6b3e-408f-ac3a-cba8459b6f9b/full/!200,200/0/default.jpg",1,True
112629,The Martyrdom of Saint Gennaro,Painting,https://api.nga.gov/iiif/05d70ba8-5283-44eb-92df-b8e286cf4217,"https://api.nga.gov/iiif/05d70ba8-5283-44eb-92df-b8e286cf4217/full/!200,200/0/default.jpg",1,True
118598,Christ Washing the Disciples' Feet,Painting,https://api.nga.gov/iiif/778cf516-cc6e-46b1-97e7-6e8057ee8ae8,"https://api.nga.gov/iiif/778cf516-cc6e-46b1-97e7-6e8057ee8ae8/full/!200,200/0/default.jpg",1,True
118611,Self-Portrait as a Lute Player,Painting,https://api.nga.gov/iiif/9cbdd768-889a-4f1e-aba1-c7a5f9ca728b,"https://api.nga.gov/iiif/9cbdd768-889a-4f1e-aba1-c7a5f9ca728b/full/!200,200/0/default.jpg",1,True
118846,Saint Francis in Prayer,Painting,https://api.nga.gov/iiif/4819cafa-fa8e-445c-b594-58ba885443aa,"https://api.nga.gov/iiif/4819cafa-fa8e-445c-b594-58ba885443aa/full/!200,200/0/default.jpg",1,True
121137,Portrait of a Lady,Painting,https://api.nga.gov/iiif/d21d0983-81c8-42bc-bdb9-fa7b9e4961a8,"https://api.nga.gov/iiif/d21d0983-81c8-42bc-bdb9-fa7b9e4961a8/full/!200,200/0/default.jpg",1,True
123073,Anna Maria van Schurman,Painting,https://api.nga.gov/iiif/cb0c8c97-5ad3-402f-8ac5-89b7800c2f72,"https://api.nga.gov/iiif/cb0c8c97-5ad3-402f-8ac5-89b7800c2f72/full/!200,200/0/default.jpg",1,True
126127,Mississippi Boatman,Painting,https://api.nga.gov/iiif/6985c8d3-954e-44ea-9821-a4809182ae80,"https://api.nga.gov/iiif/6985c8d3-954e-44ea-9821-a4809182ae80/full/!200,200/0/default.jpg",1,True
127587,The Last Communion of Saint Mary of Egypt,Painting,https://api.nga.gov/iiif/3068b3fd-859a-4b4e-8ac8-c42e54dc6610,"https://api.nga.gov/iiif/3068b3fd-859a-4b4e-8ac8-c42e54dc6610/full/!200,200/0/default.jpg",1,True
128004,Self-Portrait in the Studio,Painting,https://api.nga.gov/iiif/fac6fde2-18ab-413a-ad65-4c48ad5cf8d9,"https://api.nga.gov/iiif/fac6fde2-18ab-413a-ad65-4c48ad5cf8d9/full/!200,200/0/default.jpg",1,True
129282,Portrait of a Gentleman,Painting,https://api.nga.gov/iiif/b7030fec-6d28-45f7-a4f4-ed4884c7ce36,"https://api.nga.gov/iiif/b7030fec-6d28-45f7-a4f4-ed4884c7ce36/full/!200,200/0/default.jpg",1,True
129283,Saint John the Baptist Preaching,Painting,https://api.nga.gov/iiif/cb8636ed-d3ea-40f6-9e4d-88e032e5f003,"https://api.nga.gov/iiif/cb8636ed-d3ea-40f6-9e4d-88e032e5f003/full/!200,200/0/default.jpg",1,True
129865,Joshua Commanding the Sun to Stand Still upon Gibeon,Painting,https://api.nga.gov/iiif/3dc78f93-b6c9-4dfd-a665-b7b1759e5f4c,"https://api.nga.gov/iiif/3dc78f93-b6c9-4dfd-a665-b7b1759e5f4c/full/!200,200/0/default.jpg",1,True
130896,The Roman Theater at Taormina,Painting,https://api.nga.gov/iiif/d1fa6937-25ce-4f4c-a414-91e99c098bf9,"https://api.nga.gov/iiif/d1fa6937-25ce-4f4c-a414-91e99c098bf9/full/!200,200/0/default.jpg",1,True
131028,Young Girl with an Apron,Painting,https://api.nga.gov/iiif/3301b7f7-ccf8-4ce9-8e7e-33c0b60048c9,"https://api.nga.gov/iiif/3301b7f7-ccf8-4ce9-8e7e-33c0b60048c9/full/!200,200/0/default.jpg",1,True
131947,Woman Weaving a Crown of Flowers,Painting,https://api.nga.gov/iiif/f2fc7310-79cc-4ece-98f5-051349034b9e,"https://api.nga.gov/iiif/f2fc7310-79cc-4ece-98f5-051349034b9e/full/!200,200/0/default.jpg",1,True
131993,Bearded Man with a Beret,Painting,https://api.nga.gov/iiif/4829a4e8-22ad-4afc-8980-87cc82cb6cb9,"https://api.nga.gov/iiif/4829a4e8-22ad-4afc-8980-87cc82cb6cb9/full/!200,200/0/default.jpg",1,True
131994,"Self-Portrait before a Painting of ""Amor Fedele""",Painting,https://api.nga.gov/iiif/16f90d95-983b-4b93-ae7f-aa27eb8f150f,"https://api.nga.gov/iiif/16f90d95-983b-4b93-ae7f-aa27eb8f150f/full/!200,200/0/default.jpg",1,True
133023,Head of an Old Man,Painting,https://api.nga.gov/iiif/c5ad51e9-e75b-4c88-905d-66917ad1498e,"https://api.nga.gov/iiif/c5ad51e9-e75b-4c88-905d-66917ad1498e/full/!200,200/0/default.jpg",1,True
133512,An Arapahoe Boy,Painting,https://api.nga.gov/iiif/9c959daa-bda4-4632-8500-77928beab9d5,"https://api.nga.gov/iiif/9c959daa-bda4-4632-8500-77928beab9d5/full/!200,200/0/default.jpg",1,True
133761,The Germans Arrive,Painting,https://api.nga.gov/iiif/feccdd3b-84b2-4267-abd2-c04ef16dd5e7,"https://api.nga.gov/iiif/feccdd3b-84b2-4267-abd2-c04ef16dd5e7/full/!200,200/0/default.jpg",1,True
134427,Self-Portrait,Painting,https://api.nga.gov/iiif/dabfe0b5-f9ee-4c5f-992e-df160064c84b,"https://api.nga.gov/iiif/dabfe0b5-f9ee-4c5f-992e-df160064c84b/full/!200,200/0/default.jpg",1,True
135512,Nanny and Child,Painting,https://api.nga.gov/iiif/8bffe28f-ef5b-4098-9356-ff5a5d70cbb1,"https://api.nga.gov/iiif/8bffe28f-ef5b-4098-9356-ff5a5d70cbb1/full/!200,200/0/default.jpg",1,True
137505,Christ Carrying the Cross,Painting,https://api.nga.gov/iiif/255840fd-ecfe-472f-93eb-350781ac9671,"https://api.nga.gov/iiif/255840fd-ecfe-472f-93eb-350781ac9671/full/!200,200/0/default.jpg",1,True
140908,A Quiet Day near Manchester,Painting,https://api.nga.gov/iiif/d8f03e63-5d23-4db8-931b-35d82e8233f4,"https://api.nga.gov/iiif/d8f03e63-5d23-4db8-931b-35d82e8233f4/full/!200,200/0/default.jpg",1,True
142346,Young Boy in Profile,Painting,https://api.nga.gov/iiif/763061b5-6de0-4715-ac31-eb7c996ef173,"https://api.nga.gov/iiif/763061b5-6de0-4715-ac31-eb7c996ef173/full/!200,200/0/default.jpg",1,True
151105,A Young Man Holding a Staff,Painting,https://api.nga.gov/iiif/0e95a043-6d84-4cef-adf9-60f4084b2a44,"https://api.nga.gov/iiif/0e95a043-6d84-4cef-adf9-60f4084b2a44/full/!200,200/0/default.jpg",1,True
155712,Peasant Girl with a Straw Hat,Painting,https://api.nga.gov/iiif/973f15d7-f2ab-4002-af7a-19fdd269453c,"https://api.nga.gov/iiif/973f15d7-f2ab-4002-af7a-19fdd269453c/full/!200,200/0/default.jpg",1,True
158097,Portrait of a Gentleman Wearing a Fancy Ruff,Painting,https://api.nga.gov/iiif/37137e08-b7f8-4dd4-961a-624495e5254b,"https://api.nga.gov/iiif/37137e08-b7f8-4dd4-961a-624495e5254b/full/!200,200/0/default.jpg",1,True
159063,Saint Mark,Painting,https://api.nga.gov/iiif/6f1221c0-89e0-4351-ab9d-643a0d4eb497,"https://api.nga.gov/iiif/6f1221c0-89e0-4351-ab9d-643a0d4eb497/full/!200,200/0/default.jpg",1,True
159064,Saint Luke,Painting,https://api.nga.gov/iiif/bc8c4a91-1ba7-4ba7-9f5c-a530dc132cab,"https://api.nga.gov/iiif/bc8c4a91-1ba7-4ba7-9f5c-a530dc132cab/full/!200,200/0/default.jpg",1,True
160960,Young Woman in an Interior,Painting,https://api.nga.gov/iiif/cec223de-bf79-46d6-acb0-73fb36c34920,"https://api.nga.gov/iiif/cec223de-bf79-46d6-acb0-73fb36c34920/full/!200,200/0/default.jpg",1,True
163917,"A Woman Feeding a Parrot, with a Page",Painting,https://api.nga.gov/iiif/afcc1f6a-36b1-4b72-b2b0-79ce616547ee,"https://api.nga.gov/iiif/afcc1f6a-36b1-4b72-b2b0-79ce616547ee/full/!200,200/0/default.jpg",1,True
164952,Young Peasant Girls Resting in the Fields near Pontoise,Painting,https://api.nga.gov/iiif/f722edfb-50df-4e71-8e89-a2ad2a7f524d,"https://api.nga.gov/iiif/f722edfb-50df-4e71-8e89-a2ad2a7f524d/full/!200,200/0/default.jpg",1,True
164969,Man with a Hoe,Painting,https://api.nga.gov/iiif/52b425a4-1b7f-4f9a-a7c8-3f88611a5243,"https://api.nga.gov/iiif/52b425a4-1b7f-4f9a-a7c8-3f88611a5243/full/!200,200/0/default.jpg",1,True
166431,Portrait of a Gentleman,Painting,https://api.nga.gov/iiif/f4e2ffc4-20fe-4a36-8052-12602c4bc15d,"https://api.nga.gov/iiif/f4e2ffc4-20fe-4a36-8052-12602c4bc15d/full/!200,200/0/default.jpg",1,True
166443,Lady with a Mask,Painting,https://api.nga.gov/iiif/f2bf8097-a60a-4f55-8fe9-9f36f3908dac,"https://api.nga.gov/iiif/f2bf8097-a60a-4f55-8fe9-9f36f3908dac/full/!200,200/0/default.jpg",1,True
166448,"Frances Susanna, Lady de Dunstanville",Painting,https://api.nga.gov/iiif/7132e79c-0d5b-4ed2-b2a3-69ff02885912,"https://api.nga.gov/iiif/7132e79c-0d5b-4ed2-b2a3-69ff02885912/full/!200,200/0/default.jpg",1,True
167923,Scenes from the Passion of Christ: The Crucifixion [middle panel],Painting,https://api.nga.gov/iiif/1911d50b-a4fd-4e32-a20c-cc2a613a33bb,"https://api.nga.gov/iiif/1911d50b-a4fd-4e32-a20c-cc2a613a33bb/full/!200,200/0/default.jpg",1,True
168755,Young Woman in Kimono,Painting,https://api.nga.gov/iiif/e572617f-07c6-415f-8e2d-17ef6f21fb23,"https://api.nga.gov/iiif/e572617f-07c6-415f-8e2d-17ef6f21fb23/full/!200,200/0/default.jpg",1,True
171695,"Madonna and Child with Two Angels, Saint Rose, and Saint Catherine of Alexandria",Painting,https://api.nga.gov/iiif/ce3ab0ee-d293-4938-8e15-db27d8e555e1,"https://api.nga.gov/iiif/ce3ab0ee-d293-4938-8e15-db27d8e555e1/full/!200,200/0/default.jpg",1,True
175339,A Longshoreman,Painting,https://api.nga.gov/iiif/c52c278e-a03a-489b-80d4-918e6ab6dacf,"https://api.nga.gov/iiif/c52c278e-a03a-489b-80d4-918e6ab6dacf/full/!200,200/0/default.jpg",1,True
176558,Self-Portrait,Painting,https://api.nga.gov/iiif/0796fdf1-92f3-49b1-97ac-a431410f8276,"https://api.nga.gov/iiif/0796fdf1-92f3-49b1-97ac-a431410f8276/full/!200,200/0/default.jpg",1,True
176888,Portrait of a Gentleman,Painting,https://api.nga.gov/iiif/f8932bcc-9ced-432b-9f01-6cf68acba256,"https://api.nga.gov/iiif/f8932bcc-9ced-432b-9f01-6cf68acba256/full/!200,200/0/default.jpg",1,True
177017,Portrait of a Lady,Painting,https://api.nga.gov/iiif/47771d56-27ce-476b-bf66-0969ff4e3887,"https://api.nga.gov/iiif/47771d56-27ce-476b-bf66-0969ff4e3887/full/!200,200/0/default.jpg",1,True
177052,Picking Cotton,Painting,https://api.nga.gov/iiif/06c79e5b-bc00-4fd7-b0ef-98ea3d8fe988,"https://api.nga.gov/iiif/06c79e5b-bc00-4fd7-b0ef-98ea3d8fe988/full/!200,200/0/default.jpg",1,True
177073,Self-Portrait,Painting,https://api.nga.gov/iiif/0f52755d-9ee5-4f0e-a165-5356c1829a58,"https://api.nga.gov/iiif/0f52755d-9ee5-4f0e-a165-5356c1829a58/full/!200,200/0/default.jpg",1,True
177155,Negro Boys on the Quayside,Painting,https://api.nga.gov/iiif/9e79b397-0bd5-4221-96e0-0c2d20470933,"https://api.nga.gov/iiif/9e79b397-0bd5-4221-96e0-0c2d20470933/full/!200,200/0/default.jpg",1,True
177432,"Cupid, Stung by a Bee, Is Cherished by his Mother",Painting,https://api.nga.gov/iiif/8a0da638-ffac-4eed-9099-f9288d1ea5ab,"https://api.nga.gov/iiif/8a0da638-ffac-4eed-9099-f9288d1ea5ab/full/!200,200/0/default.jpg",1,True
177795,Man with a Sheet of Music,Painting,https://api.nga.gov/iiif/223524b5-ba54-4b89-8bed-3940e68a4f91,"https://api.nga.gov/iiif/223524b5-ba54-4b89-8bed-3940e68a4f91/full/!200,200/0/default.jpg",1,True
195135,The Duke of Devonshire and Lady Louisa Egerton,Painting,https://api.nga.gov/iiif/2309019b-4fb0-4f88-be87-a6ff291f700b,"https://api.nga.gov/iiif/2309019b-4fb0-4f88-be87-a6ff291f700b/full/!200,200/0/default.jpg",1,True
195149,Standing Woman,Painting,https://api.nga.gov/iiif/a47a41a0-7e45-489b-be0c-1050170cd125,"https://api.nga.gov/iiif/a47a41a0-7e45-489b-be0c-1050170cd125/full/!200,200/0/default.jpg",1,True
195531,The Great Mother,Painting,https://api.nga.gov/iiif/e2beca5e-bc74-4274-8844-f5fe0826a59c,"https://api.nga.gov/iiif/e2beca5e-bc74-4274-8844-f5fe0826a59c/full/!200,200/0/default.jpg",1,True
195586,Seated Woman,Painting,https://api.nga.gov/iiif/989d8d59-3dad-43c4-ba6e-b25477e3f6b9,"https://api.nga.gov/iiif/989d8d59-3dad-43c4-ba6e-b25477e3f6b9/full/!200,200/0/default.jpg",1,True
195727,Self-Portrait,Painting,https://api.nga.gov/iiif/eabc645e-1ee3-49a3-84c9-a9749bad4573,"https://api.nga.gov/iiif/eabc645e-1ee3-49a3-84c9-a9749bad4573/full/!200,200/0/default.jpg",1,True
195829,Indian Girl in White Blanket,Painting,https://api.nga.gov/iiif/be827f4d-defa-4ebd-8fda-c73f4b4b0a15,"https://api.nga.gov/iiif/be827f4d-defa-4ebd-8fda-c73f4b4b0a15/full/!200,200/0/default.jpg",1,True
195865,The Moored Boatman: Souvenir of an Italian Lake,Painting,https://api.nga.gov/iiif/0769e5d6-dcd0-4595-9876-3f48d5305a06,"https://api.nga.gov/iiif/0769e5d6-dcd0-4595-9876-3f48d5305a06/full/!200,200/0/default.jpg",1,True
198423,Scenes from the Passion of Christ: The  Agony in the Garden [left panel],Painting,https://api.nga.gov/iiif/d525e201-d47c-40ed-9309-1d44ed1ff1ab,"https://api.nga.gov/iiif/d525e201-d47c-40ed-9309-1d44ed1ff1ab/full/!200,200/0/default.jpg",1,True
198424,Scenes from the Passion of Christ: The Descent into Limbo [right panel],Painting,https://api.nga.gov/iiif/4205a539-eadd-4486-89a7-3cff9c1ba428,"https://api.nga.gov/iiif/4205a539-eadd-4486-89a7-3cff9c1ba428/full/!200,200/0/default.jpg",1,True
202761,A Nurse and a Child in an Elegant Foyer,Painting,https://api.nga.gov/iiif/d32b8743-f62b-457b-ae42-aa6794cff8fd,"https://api.nga.gov/iiif/d32b8743-f62b-457b-ae42-aa6794cff8fd/full/!200,200/0/default.jpg",1,True
204092,Portrait of a Woman Aged Sixty-Eight,Painting,https://api.nga.gov/iiif/8ffb9df7-30e0-4c2e-af87-cc43c63242e6,"https://api.nga.gov/iiif/8ffb9df7-30e0-4c2e-af87-cc43c63242e6/full/!200,200/0/default.jpg",1,True
204932,"Madonna and Child, with Saints Peter and John the Evangelist, and Man of Sorrows [entire triptych]",Painting,https://api.nga.gov/iiif/622f31c9-db92-48c8-8cc0-4b8160937dd9,"https://api.nga.gov/iiif/622f31c9-db92-48c8-8cc0-4b8160937dd9/full/!200,200/0/default.jpg",1,True
204932,"Madonna and Child, with Saints Peter and John the Evangelist, and Man of Sorrows [entire triptych]",Painting,https://api.nga.gov/iiif/9b7b1018-b75f-43eb-bbad-9fe0f255f0c3,"https://api.nga.gov/iiif/9b7b1018-b75f-43eb-bbad-9fe0f255f0c3/full/!200,200/0/default.jpg",1,True
204932,"Madonna and Child, with Saints Peter and John the Evangelist, and Man of Sorrows [entire triptych]",Painting,https://api.nga.gov/iiif/a8576cf2-9196-4b68-b8cb-49b8d152133a,"https://api.nga.gov/iiif/a8576cf2-9196-4b68-b8cb-49b8d152133a/full/!200,200/0/default.jpg",1,True
204932,"Madonna and Child, with Saints Peter and John the Evangelist, and Man of Sorrows [entire triptych]",Painting,https://api.nga.gov/iiif/e90bb723-a01d-477b-b3dd-4ccbfe87b007,"https://api.nga.gov/iiif/e90bb723-a01d-477b-b3dd-4ccbfe87b007/full/!200,200/0/default.jpg",1,True
205573,A Soldier Smoking a Pipe,Painting,https://api.nga.gov/iiif/3a56cc88-d51b-49e9-975c-b4f816f50cb9,"https://api.nga.gov/iiif/3a56cc88-d51b-49e9-975c-b4f816f50cb9/full/!200,200/0/default.jpg",1,True
206067,Head of a Young Man,Painting,https://api.nga.gov/iiif/6673a449-8936-4ba2-b03e-a3bcd61e0ad8,"https://api.nga.gov/iiif/6673a449-8936-4ba2-b03e-a3bcd61e0ad8/full/!200,200/0/default.jpg",1,True
206070,Madonna and Child,Painting,https://api.nga.gov/iiif/e03c3a67-c340-4d02-ac20-7d8f8d8a6874,"https://api.nga.gov/iiif/e03c3a67-c340-4d02-ac20-7d8f8d8a6874/full/!200,200/0/default.jpg",1,True
206071,The Annunciation with Saint Francis and Saint Louis of Toulouse [four panels],Painting,https://api.nga.gov/iiif/6ccc4541-e38d-4f68-b36e-0c00f5febc4e,"https://api.nga.gov/iiif/6ccc4541-e38d-4f68-b36e-0c00f5febc4e/full/!200,200/0/default.jpg",1,True
206072,"Scenes from the Passion of Christ: The Agony in the Garden, the Crucifixion, and the Descent into Limbo [entire triptych]",Painting,https://api.nga.gov/iiif/a46e6f59-4fab-4795-8cad-1999b37c52ae,"https://api.nga.gov/iiif/a46e6f59-4fab-4795-8cad-1999b37c52ae/full/!200,200/0/default.jpg",1,True
206122,"Madonna and Child with Saints Andrew, Benedict, Bernard, and Catherine of Alexandria with Angels [entire triptych]",Painting,https://api.nga.gov/iiif/2fb51438-c9e4-445a-a0ab-ca44654afbd0,"https://api.nga.gov/iiif/2fb51438-c9e4-445a-a0ab-ca44654afbd0/full/!200,200/0/default.jpg",1,True
206124,"Madonna and Child with the Blessing Christ, and Saints Mary Magdalene and Catherine of Alexandria with Angels [entire triptych]",Painting,https://api.nga.gov/iiif/5aadf03c-ba67-4cc7-b06f-1c489f73e55f,"https://api.nga.gov/iiif/5aadf03c-ba67-4cc7-b06f-1c489f73e55f/full/!200,200/0/default.jpg",1,True
206125,"Madonna and Child with the Blessing Christ, and Saints Peter, James Major, Anthony Abbott, and a Deacon Saint [entire triptych]",Painting,https://api.nga.gov/iiif/189d05f0-c290-4d93-bc8f-a93ec02b17c3,"https://api.nga.gov/iiif/189d05f0-c290-4d93-bc8f-a93ec02b17c3/full/!200,200/0/default.jpg",1,True
206127,"The Crucifixion with the Virgin, Saint John, Saint Jerome, and Saint Mary Magdalene",Painting,https://api.nga.gov/iiif/823e1490-2c2a-41d6-9189-61c0a302f48f,"https://api.nga.gov/iiif/823e1490-2c2a-41d6-9189-61c0a302f48f/full/!200,200/0/default.jpg",1,True
219334,"Woman of the ""Orient""",Painting,https://api.nga.gov/iiif/f91fb4d3-6438-4919-a8e9-2dea0dfb6b30,"https://api.nga.gov/iiif/f91fb4d3-6438-4919-a8e9-2dea0dfb6b30/full/!200,200/0/default.jpg",1,True
220445,The Trojans Building the Temple to Venus and Making Offerings at Anchises's Grave in Sicily,Painting,https://api.nga.gov/iiif/7fcdd3c1-21d8-4d4b-9113-9b8ba5ed48da,"https://api.nga.gov/iiif/7fcdd3c1-21d8-4d4b-9113-9b8ba5ed48da/full/!200,200/0/default.jpg",1,True
221207,Coriolanus Taking Leave of his Family,Painting,https://api.nga.gov/iiif/eedab1c0-c052-4a82-9c63-e03f95d1ca0e,"https://api.nga.gov/iiif/eedab1c0-c052-4a82-9c63-e03f95d1ca0e/full/!200,200/0/default.jpg",1,True
224921,Madonna and Child,Painting,https://api.nga.gov/iiif/de464618-9272-44f2-860e-78a8b1478a95,"https://api.nga.gov/iiif/de464618-9272-44f2-860e-78a8b1478a95/full/!200,200/0/default.jpg",1,True
226639,A Man Cutting Tobacco,Painting,https://api.nga.gov/iiif/3040e4c8-111b-495c-bae2-a76efd4d8154,"https://api.nga.gov/iiif/3040e4c8-111b-495c-bae2-a76efd4d8154/full/!200,200/0/default.jpg",1,True
227488,Christ Gathering His Garments after the Flagellation,Painting,https://api.nga.gov/iiif/ed9d3da2-46a8-4cbc-a84d-fa75be809f23,"https://api.nga.gov/iiif/ed9d3da2-46a8-4cbc-a84d-fa75be809f23/full/!200,200/0/default.jpg",1,True
228924,Saint Sebastian,Painting,https://api.nga.gov/iiif/56e3b381-171f-44b0-b32b-cff0d4b92425,"https://api.nga.gov/iiif/56e3b381-171f-44b0-b32b-cff0d4b92425/full/!200,200/0/default.jpg",1,True
228925,Saint Barbara,Painting,https://api.nga.gov/iiif/4d3cccf0-ae12-46ba-83a0-11c941cf520e,"https://api.nga.gov/iiif/4d3cccf0-ae12-46ba-83a0-11c941cf520e/full/!200,200/0/default.jpg",1,True
231675,Elderly Woman with a Pearl Necklace,Painting,https://api.nga.gov/iiif/ec9d38c1-290b-4865-9c8f-ffa45f404075,"https://api.nga.gov/iiif/ec9d38c1-290b-4865-9c8f-ffa45f404075/full/!200,200/0/default.jpg",1,True
231676,Portrait of a Woman,Painting,https://api.nga.gov/iiif/397bbd2e-be9b-4216-9a7c-9320e4c0fcab,"https://api.nga.gov/iiif/397bbd2e-be9b-4216-9a7c-9320e4c0fcab/full/!200,200/0/default.jpg",1,True
232107,Untitled (Head of Woman),Painting,https://api.nga.gov/iiif/4837f246-cbf5-49c2-9dbc-c84066ba3495,"https://api.nga.gov/iiif/4837f246-cbf5-49c2-9dbc-c84066ba3495/full/!200,200/0/default.jpg",1,True
