epoch,train_loss,train_acc,val_loss,val_acc
1,1.6324356897354126,0.5458,1.0296810455322265,0.7033333333333334
2,0.7482819320678711,0.7934,0.8472672390937805,0.7573333333333333
3,0.4145061206817627,0.9044,0.720073060353597,0.788
4,0.23154173049926757,0.9554,0.6840279258092244,0.8
5,0.16159443669319154,0.9782,0.6608958115577698,0.814
