epoch,train_loss,train_acc,val_loss,val_acc
1,2.6774658939361573,0.2124,2.3188055108388266,0.312
2,2.141872688293457,0.3684,2.102590232849121,0.3606666666666667
3,1.8356827842712402,0.4574,2.008310119628906,0.396
4,1.6283188789367675,0.5404,1.9706178159713745,0.386
5,1.4873858686447143,0.5914,1.952529143333435,0.392
